id,level,givens,grid
almost_solved_001,almost_solved,79,"[[4, 2, 0, 5, 6, 9, 7, 8, 3], [6, 9, 5, 7, 8, 3, 1, 4, 2], [8, 3, 7, 1, 4, 2, 5, 6, 9], [1, 6, 9, 3, 5, 8, 2, 7, 4], [7, 4, 2, 9, 1, 6, 3, 5, 8], [5, 8, 3, 2, 7, 4, 9, 1, 6], [2, 1, 6, 8, 9, 5, 0, 3, 7], [3, 7, 4, 6, 2, 1, 8, 9, 5], [9, 5, 8, 4, 3, 7, 6, 2, 1]]"
almost_solved_002,almost_solved,79,"[[1, 7, 6, 2, 4, 3, 9, 5, 8], [8, 5, 9, 7, 1, 6, 3, 2, 4], [4, 2, 3, 5, 8, 9, 6, 7, 1], [7, 0, 8, 3, 2, 1, 4, 9, 5], [5, 9, 4, 6, 7, 8, 1, 3, 2], [2, 3, 1, 9, 5, 4, 8, 6, 7], [3, 1, 7, 4, 9, 2, 5, 8, 0], [6, 8, 5, 1, 3, 7, 2, 4, 9], [9, 4, 2, 8, 6, 5, 7, 1, 3]]"
almost_solved_003,almost_solved,79,"[[1, 9, 4, 7, 3, 8, 2, 5, 6], [2, 5, 6, 4, 9, 1, 8, 3, 7], [8, 3, 7, 6, 5, 2, 1, 9, 4], [5, 6, 1, 8, 4, 9, 3, 7, 2], [9, 4, 8, 2, 7, 3, 0, 6, 1], [3, 7, 2, 1, 6, 5, 9, 4, 8], [4, 8, 3, 5, 2, 7, 6, 0, 9], [6, 1, 9, 3, 8, 4, 7, 2, 5], [7, 2, 5, 9, 1, 6, 4, 8, 3]]"
almost_solved_004,almost_solved,79,"[[1, 6, 7, 5, 8, 9, 4, 3, 2], [8, 5, 9, 2, 4, 3, 1, 7, 6], [4, 2, 3, 6, 1, 7, 8, 9, 5], [3, 1, 6, 8, 7, 5, 9, 2, 4], [9, 4, 2, 1, 3, 0, 7, 5, 8], [7, 8, 5, 4, 9, 2, 3, 6, 1], [5, 0, 4, 3, 2, 1, 6, 8, 7], [6, 7, 8, 9, 5, 4, 2, 1, 3], [2, 3, 1, 7, 6, 8, 5, 4, 9]]"
almost_solved_005,almost_solved,79,"[[9, 3, 5, 1, 4, 2, 8, 6, 7], [4, 1, 2, 0, 8, 7, 9, 3, 5], [8, 6, 7, 3, 9, 5, 4, 1, 2], [6, 5, 8, 2, 3, 9, 1, 7, 4], [3, 2, 9, 7, 1, 4, 6, 5, 8], [1, 7, 4, 5, 6, 8, 3, 2, 9], [2, 4, 3, 8, 7, 1, 0, 9, 6], [5, 9, 6, 4, 2, 3, 7, 8, 1], [7, 8, 1, 9, 5, 6, 2, 4, 3]]"
almost_solved_006,almost_solved,79,"[[2, 6, 7, 1, 3, 0, 0, 5, 9], [1, 8, 3, 5, 4, 9, 7, 2, 6], [5, 9, 4, 2, 7, 6, 3, 1, 8], [9, 7, 2, 6, 1, 3, 5, 8, 4], [8, 4, 5, 9, 2, 7, 1, 6, 3], [6, 3, 1, 8, 5, 4, 2, 9, 7], [3, 5, 8, 4, 9, 2, 6, 7, 1], [4, 2, 9, 7, 6, 1, 8, 3, 5], [7, 1, 6, 3, 8, 5, 9, 4, 2]]"
almost_solved_007,almost_solved,79,"[[3, 6, 9, 8, 2, 1, 7, 4, 5], [0, 2, 8, 7, 4, 5, 9, 6, 3], [5, 4, 7, 9, 6, 3, 8, 2, 1], [6, 9, 5, 3, 0, 2, 1, 7, 4], [4, 7, 1, 5, 9, 6, 3, 8, 2], [2, 8, 3, 1, 7, 4, 5, 9, 6], [9, 5, 4, 6, 3, 8, 2, 1, 7], [8, 3, 6, 2, 1, 7, 4, 5, 9], [7, 1, 2, 4, 5, 9, 6, 3, 8]]"
almost_solved_008,almost_solved,79,"[[7, 4, 9, 5, 3, 0, 2, 6, 8], [5, 1, 3, 2, 6, 8, 7, 9, 4], [2, 8, 6, 7, 9, 4, 5, 3, 1], [0, 3, 5, 4, 2, 6, 1, 7, 9], [4, 6, 2, 1, 7, 9, 8, 5, 3], [1, 9, 7, 8, 5, 3, 4, 2, 6], [3, 7, 1, 6, 8, 5, 9, 4, 2], [6, 5, 8, 9, 4, 2, 3, 1, 7], [9, 2, 4, 3, 1, 7, 6, 8, 5]]"
almost_solved_009,almost_solved,79,"[[4, 1, 7, 6, 8, 9, 2, 5, 3], [3, 0, 5, 1, 4, 7, 6, 9, 8], [8, 6, 9, 2, 3, 5, 1, 7, 4], [1, 7, 8, 9, 6, 3, 5, 4, 2], [2, 5, 4, 7, 1, 8, 9, 0, 6], [6, 9, 3, 5, 2, 4, 7, 8, 1], [7, 8, 6, 3, 9, 2, 4, 1, 5], [9, 3, 2, 4, 5, 1, 8, 6, 7], [5, 4, 1, 8, 7, 6, 3, 2, 9]]"
almost_solved_010,almost_solved,79,"[[6, 1, 3, 9, 2, 4, 7, 5, 8], [8, 7, 5, 3, 1, 6, 2, 9, 4], [4, 2, 9, 5, 7, 8, 1, 3, 6], [0, 9, 4, 8, 5, 2, 3, 6, 7], [2, 5, 8, 6, 3, 7, 9, 4, 1], [7, 3, 6, 4, 9, 1, 5, 8, 2], [3, 4, 1, 2, 8, 9, 6, 7, 5], [9, 8, 2, 7, 6, 5, 4, 1, 0], [5, 6, 7, 1, 4, 3, 8, 2, 9]]"
almost_solved_011,almost_solved,79,"[[6, 8, 0, 3, 5, 4, 1, 2, 7], [3, 5, 4, 2, 1, 7, 8, 6, 9], [2, 1, 7, 6, 8, 9, 5, 3, 4], [8, 4, 3, 5, 7, 2, 9, 1, 6], [5, 7, 2, 1, 9, 6, 4, 8, 3], [1, 9, 6, 8, 4, 3, 7, 5, 2], [4, 2, 5, 7, 6, 1, 3, 0, 8], [9, 3, 8, 4, 2, 5, 6, 7, 1], [7, 6, 1, 9, 3, 8, 2, 4, 5]]"
almost_solved_012,almost_solved,79,"[[5, 8, 0, 2, 3, 7, 4, 6, 9], [4, 6, 9, 8, 5, 1, 3, 2, 7], [3, 2, 7, 6, 4, 9, 5, 8, 1], [6, 9, 5, 1, 8, 3, 2, 7, 4], [2, 7, 4, 9, 6, 5, 8, 1, 3], [8, 1, 3, 7, 2, 4, 6, 9, 5], [1, 3, 2, 4, 7, 6, 9, 5, 8], [0, 4, 6, 5, 9, 8, 1, 3, 2], [9, 5, 8, 3, 1, 2, 7, 4, 6]]"
almost_solved_013,almost_solved,79,"[[5, 6, 1, 4, 9, 3, 8, 7, 2], [2, 8, 7, 6, 5, 1, 4, 3, 9], [9, 4, 3, 8, 2, 7, 6, 1, 5], [4, 1, 9, 3, 8, 2, 7, 5, 6], [6, 7, 5, 1, 4, 9, 3, 2, 8], [8, 3, 2, 7, 0, 5, 1, 9, 4], [3, 9, 8, 2, 7, 6, 5, 4, 1], [7, 2, 6, 5, 1, 4, 9, 8, 3], [1, 0, 4, 9, 3, 8, 2, 6, 7]]"
almost_solved_014,almost_solved,79,"[[8, 5, 6, 9, 1, 2, 0, 4, 7], [2, 1, 9, 7, 4, 3, 8, 5, 6], [3, 4, 7, 6, 5, 8, 2, 1, 9], [5, 6, 2, 3, 9, 1, 4, 7, 8], [1, 9, 3, 8, 7, 4, 5, 6, 2], [4, 7, 8, 2, 6, 5, 1, 9, 3], [6, 2, 1, 4, 3, 0, 7, 8, 5], [9, 3, 4, 5, 8, 7, 6, 2, 1], [7, 8, 5, 1, 2, 6, 9, 3, 4]]"
